Game 202: Score = 752, Max Tile = 64, Time = 0.0114 seconds
Game 203: Score = 1308, Max Tile = 128, Time = 0.0282 seconds
Game 204: Score = 1220, Max Tile = 128, Time = 0.0228 seconds
Game 205: Score = 1508, Max Tile = 128, Time = 0.0433 seconds
Game 206: Score = 272, Max Tile = 32, Time = 0.0115 seconds
Game 207: Score = 1208, Max Tile = 128, Time = 0.0277 seconds
Game 208: Score = 716, Max Tile = 64, Time = 0.0335 seconds
Game 209: Score = 508, Max Tile = 64, Time = 0.0081 seconds
Game 210: Score = 1336, Max Tile = 128, Time = 0.0516 seconds
Game 211: Score = 420, Max Tile = 32, Time = 0.0164 seconds
Game 212: Score = 432, Max Tile = 32, Time = 0.0136 seconds
Game 213: Score = 1060, Max Tile = 64, Time = 0.0373 seconds
Game 214: Score = 1164, Max Tile = 128, Time = 0.0448 seconds
Game 215: Score = 468, Max Tile = 64, Time = 0.0116 seconds
Game 216: Score = 1200, Max Tile = 128, Time = 0.0495 seconds
Game 217: Score = 624, Max Tile = 64, Time = 0.0175 seconds
Game 218: Score = 1432, Max Tile = 128, Time = 0.0410 seconds
Game 219: Score = 680, Max Tile = 64, Time = 0.0266 seconds
Game 220: Score = 452, Max Tile = 64, Time = 0.0132 seconds
Game 221: Score = 372, Max Tile = 32, Time = 0.0168 seconds
Game 222: Score = 1344, Max Tile = 128, Time = 0.0373 seconds
Game 223: Score = 244, Max Tile = 32, Time = 0.0193 seconds
Game 224: Score = 1120, Max Tile = 128, Time = 0.0211 seconds
Game 225: Score = 476, Max Tile = 64, Time = 0.0257 seconds
Game 226: Score = 1068, Max Tile = 128, Time = 0.0242 seconds
Game 227: Score = 856, Max Tile = 64, Time = 0.0327 seconds
Game 228: Score = 596, Max Tile = 64, Time = 0.0237 seconds
Game 229: Score = 1448, Max Tile = 128, Time = 0.0417 seconds
Game 230: Score = 1304, Max Tile = 128, Time = 0.0357 seconds
Game 231: Score = 448, Max Tile = 64, Time = 0.0139 seconds
Game 232: Score = 1224, Max Tile = 128, Time = 0.0264 seconds
Game 233: Score = 1252, Max Tile = 128, Time = 0.0409 seconds
Game 234: Score = 704, Max Tile = 64, Time = 0.0256 seconds
Game 235: Score = 704, Max Tile = 64, Time = 0.0244 seconds
Game 236: Score = 312, Max Tile = 32, Time = 0.0115 seconds
Game 237: Score = 1316, Max Tile = 128, Time = 0.0308 seconds
Game 238: Score = 1284, Max Tile = 128, Time = 0.0579 seconds
Game 239: Score = 328, Max Tile = 32, Time = 0.0256 seconds
Game 240: Score = 1204, Max Tile = 128, Time = 0.0441 seconds
Game 241: Score = 624, Max Tile = 64, Time = 0.0225 seconds
Game 242: Score = 792, Max Tile = 64, Time = 0.0170 seconds
Game 243: Score = 716, Max Tile = 64, Time = 0.0222 seconds
Game 244: Score = 1220, Max Tile = 128, Time = 0.0320 seconds
Game 245: Score = 676, Max Tile = 64, Time = 0.0128 seconds
Game 246: Score = 1208, Max Tile = 128, Time = 0.0453 seconds
Game 247: Score = 452, Max Tile = 32, Time = 0.0159 seconds
